Fichier;Nb Sommets;Nb Arcs;Prim;2-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;3-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;4-MST;Poids d-MST;Rapport;;Fichier;Nb Sommets;Nb Arcs;Prim;5-MST;Poids d-MST;Rapport;;
connexe.gsb;5;5;0,7239;0,1434;28;1,0;;connexe.gsb;5;5;0,0753;0,0541;28;1,0;;connexe.gsb;5;5;0,0382;0,0468;28;1,0;;connexe.gsb;5;5;0,0302;0,0457;28;1,0;;
crd1000.gsb;100;4950;36,2815;1498,8486;8751;1,4220019499512513;;crd1000.gsb;100;4950;14,5791;17,7827;6155;1,0001624959376016;;crd1000.gsb;100;4950;12,9179;11,5191;6154;1,0;;crd1000.gsb;100;4950;14,1605;14,4796;6154;1,0;;
crd300.gsb;30;435;0,4625;8,7182;4464;1,2317880794701987;;crd300.gsb;30;435;0,4226;0,4093;3624;1,0;;crd300.gsb;30;435;0,3838;0,5044;3624;1,0;;crd300.gsb;30;435;0,4199;0,5248;3624;1,0;;
crd500.gsb;50;1225;1,3584;42,3443;6191;1,2608961303462323;;crd500.gsb;50;1225;1,8979;1,372;4910;1,0;;crd500.gsb;50;1225;1,2139;1,439;4910;1,0;;crd500.gsb;50;1225;1,0946;1,5059;4910;1,0;;
crd700.gsb;70;2415;5,5749;42,1782;7041;1,2221836486721056;;crd700.gsb;70;2415;4,05;2,9747;5761;1,0;;crd700.gsb;70;2415;3,8247;4,1372;5761;1,0;;crd700.gsb;70;2415;4,0126;4,5715;5761;1,0;;
peterson.gsb;10;15;0,0092;0,0127;413;1,6324110671936758;;peterson.gsb;10;15;0,0074;0,0064;253;1,0;;peterson.gsb;10;15;0,0065;0,0057;253;1,0;;peterson.gsb;10;15;0,0061;0,0054;253;1,0;;
peterson_double.gsb;10;15;0,0062;0,009;397;1,5691699604743083;;peterson_double.gsb;10;15;0,0058;0,0056;253;1,0;;peterson_double.gsb;10;15;0,0062;0,0057;253;1,0;;peterson_double.gsb;10;15;0,0064;0,0055;253;1,0;;
petitGraph.gsb;7;11;0,005;0,0047;40;1,0256410256410255;;petitGraph.gsb;7;11;0,006;0,0042;39;1,0;;petitGraph.gsb;7;11;0,008;0,0042;39;1,0;;petitGraph.gsb;7;11;0,0051;0,0039;39;1,0;;
shrd150.gsb;15;105;0,028;0,3161;1196;7,2926829268292686;;shrd150.gsb;15;105;0,0299;0,144;741;4,5182926829268295;;shrd150.gsb;15;105;0,0172;0,1204;525;3,201219512195122;;shrd150.gsb;15;105;0,0203;0,0446;379;2,3109756097560976;;
shrd200.gsb;20;190;0,0282;1,5932;2229;14,197452229299364;;shrd200.gsb;20;190;0,0262;0,4838;1254;7,987261146496815;;shrd200.gsb;20;190;0,0264;0,2576;882;5,617834394904459;;shrd200.gsb;20;190;0,0306;0,2335;685;4,3630573248407645;;
shrd300.gsb;30;435;0,1043;33,7447;6032;22,014598540145986;;shrd300.gsb;30;435;0,0985;5,589;3147;11,485401459854014;;shrd300.gsb;30;435;0,0936;2,5187;2257;8,237226277372264;;shrd300.gsb;30;435;0,0814;1,33;1611;5,87956204379562;;
str1000.gsb;100;4950;17,0362;680,3423;5210;1,2227176719080028;;str1000.gsb;100;4950;9,8964;35,4422;4759;1,116873973245717;;str1000.gsb;100;4950;22,7506;35,3401;4553;1,0685285144332317;;str1000.gsb;100;4950;23,8132;45,5021;4403;1,033325510443558;;
str300.gsb;30;435;0,2103;5,5221;4271;1,2354642753832803;;str300.gsb;30;435;0,1815;0,3983;3924;1,1350882267862308;;str300.gsb;30;435;0,2764;0,3076;3761;1,0879375180792594;;str300.gsb;30;435;0,1886;0,2444;3613;1,0451258316459358;;
str500.gsb;50;1225;1,2854;52,8267;4573;1,2497950259633779;;str500.gsb;50;1225;2,2966;3,8402;4162;1,1374692538945066;;str500.gsb;50;1225;1,2673;1,9962;3965;1,0836294069417873;;str500.gsb;50;1225;1,2308;1,5155;3808;1,0407215086089094;;
str700.gsb;70;2415;9,0031;156,355;4843;1,224216380182002;;str700.gsb;70;2415;3,9288;7,8742;4401;1,1124873609706774;;str700.gsb;70;2415;5,4567;6,7191;4249;1,0740647118301314;;str700.gsb;70;2415;3,9175;6,0711;4100;1,0364004044489383;;
sym300.gsb;30;435;0,1365;2,252;2278;2,3778705636743216;;sym300.gsb;30;435;0,1807;0,3495;1178;1,2296450939457202;;sym300.gsb;30;435;0,1391;0,1705;965;1,0073068893528183;;sym300.gsb;30;435;0,1407;0,1995;959;1,001043841336117;;
sym500.gsb;50;1225;1,0716;26,3921;3401;3,0974499089253187;;sym500.gsb;50;1225;0,9964;2,0985;1230;1,1202185792349726;;sym500.gsb;50;1225;1,0245;1,7341;1119;1,0191256830601092;;sym500.gsb;50;1225;1,0124;1,1943;1104;1,005464480874317;;
sym700.gsb;70;2415;4,646;222,2548;4136;3,514018691588785;;sym700.gsb;70;2415;3,0781;12,759;1569;1,3330501274426507;;sym700.gsb;70;2415;2,9102;3,961;1344;1,1418861512319456;;sym700.gsb;70;2415;3,3086;3,9027;1205;1,0237892948173322;;
